"plot_id","genotype","environment","replicate","range","row","yield"
"CS17-DG2F-187","PHP38/LH210","DG2F",5,9,379,10.54201528
"CS17-DG2F-188","PHP38/LH185","DG2F",5,9,381,8.75273713
"CS17-DG2F-189","LH195/LH210","DG2F",5,9,383,13.28733129
"CS17-DG2F-190","PHP38/PHW30","DG2F",5,9,385,9.107669723
"CS17-DG2F-191","PHHB9/PHR63","DG2F",5,9,387,10.19527958
"CS17-DG2F-192","PHHB9/PHR03","DG2F",5,9,389,12.46597808
"CS17-DG2F-193","PHW52/PHP60","DG2F",5,9,391,8.918905501
"CS17-DG2F-194","PHHB9/NK787","DG2F",5,9,393,10.99929554
"CS17-DG2F-195","LH195/PHJ65","DG2F",5,9,395,12.07712102
"CS17-DG2F-196","PHV63/PHM57","DG2F",5,9,397,10.21966239
"CS17-DG2F-197","PHHB9/PHN47","DG2F",5,10,397,9.573038531
"CS17-DG2F-198","LH195/PHN82","DG2F",5,10,395,11.84315998
"CS17-DG2F-199","PHW52/PHR03","DG2F",5,10,393,12.46028564
"CS17-DG2F-200","PHP38/Q381","DG2F",5,10,391,8.065760275
"CS17-DG2F-201","PHHB9/PHW53","DG2F",5,10,389,10.15437045
"CS17-DG2F-202","PHHB9/Q381","DG2F",5,10,387,9.737155354
"CS17-DG2F-203","PHV63/PHR63","DG2F",5,10,385,11.18240778
"CS17-DG2F-204","PHP38/PHW53","DG2F",5,10,383,10.87522621
"CS17-DG2F-205","PHP38/PHM49","DG2F",5,10,381,10.31167653
"CS17-DG2F-206","LH195/PHP60","DG2F",5,10,379,12.95207579
"CS17-DG2F-207","PHP38/PHR55","DG2F",5,10,377,11.49258111
"CS17-DG2F-208","PHV63/PHW30","DG2F",5,10,375,10.27153186
"CS17-DG2F-209","PHHB9/PHM57","DG2F",5,10,373,10.78085781
"CS17-DG2F-210","LH195/PHW53","DG2F",5,10,371,11.72406235
"CS17-DG2F-211","PHP38/PHJ65","DG2F",5,10,369,11.19298868
"CS17-DG2F-212","LH195/PHM57","DG2F",5,10,367,13.09859265
"CS17-DG2F-213","PHV63/LH123HT","DG2F",5,10,365,10.32359243
"CS17-DG2F-214","PHW52/PHN82","DG2F",5,10,363,11.76758891
"CS17-DG2F-215","PHHB9/LH123HT","DG2F",5,10,361,11.98156457
"CS17-DG2F-216","PHHB9/LH185","DG2F",5,10,359,11.03671629
"CS17-DG2F-217","PHV63/PHJ65","DG2F",5,10,357,9.845915735
"CS17-DG2F-218","PHP38/PHR63","DG2F",5,10,355,11.02742759
"CS17-DG2F-219","PHV63/Q381","DG2F",5,10,353,7.841101877
"CS17-DG2F-220","LH195/PHM49","DG2F",5,10,351,11.16219455
"CS17-DG2F-221","PHW52/LH210","DG2F",5,10,349,12.46077714
"CS17-DG2F-222","PHHB9/PHN82","DG2F",5,10,347,12.23405371
"CS17-DG2F-223","PHW52/PHR63","DG2F",5,10,345,10.15245934
"CS17-DG2F-224","PHW52/PHJ65","DG2F",5,10,343,11.5930995
"CS17-DG2F-225","PHW52/PHW53","DG2F",5,11,343,10.89998613
"CS17-DG2F-226","LH195/Q381","DG2F",5,11,345,7.960701701
"CS17-DG2F-227","LH195/PHZ51","DG2F",5,11,347,11.12740891
"CS17-DG2F-228","PHHB9/PHM49","DG2F",5,11,349,10.6230156
"CS17-DG2F-229","LH195/PHR55","DG2F",5,11,351,15.25623424
"CS17-DG2F-230","PHP38/PHP60","DG2F",5,11,353,8.904141055
"CS17-DG2F-231","PHP38/PHR03","DG2F",5,11,355,12.24087515
"CS17-DG2F-232","LH195/LH123HT","DG2F",5,11,357,14.52961397
"CS17-DG2F-233","PHW52/Q381","DG2F",5,11,359,8.658244583
"CS17-DG2F-234","PHV63/PHW53","DG2F",5,11,361,9.040236027
"CS17-DG2F-235","PHV63/PH210","DG2F",5,11,363,10.9582432
"CS17-DG2F-236","PHV63/PHN82","DG2F",5,11,365,11.24681205
"CS17-DG2F-237","PHV63/PHR03","DG2F",5,11,367,11.36933388
"CS17-DG2F-238","PHP38/LH123HT","DG2F",5,11,369,9.192726175
"CS17-DG2F-239","PHW52/PHM57","DG2F",5,11,371,10.66180203
"CS17-DG2F-240","PHW52/PHZ51","DG2F",5,11,373,10.33397758
"CS17-DG2F-241","PHW52/PHW30","DG2F",5,11,375,12.05920718
"CS17-DG2F-242","PHHB9/PHW30","DG2F",5,11,377,9.928159911
"CS17-DG2F-243","PHP38/PHM57","DG2F",5,11,379,10.01166143
"CS17-DG2F-244","PHW52/NK787","DG2F",5,11,381,14.07187569
"CS17-DG2F-245","PHHB9/PHZ51","DG2F",5,11,383,8.535278677
"CS17-DG2F-246","PHW52/PHR55","DG2F",5,11,385,14.39156277
"CS17-DG2F-247","PHP38/PHN47","DG2F",5,11,387,10.06041311
"CS17-DG2F-248","LH195/LH185","DG2F",5,11,389,NA
"CS17-DG2F-249","LAMA2002-58-3-B-B-B-B-B-B-1-B19-B18-B22/LH195 ","DG2F",6,11,391,13.4790445
"CS17-DG2F-250","TX204/PHB47","DG2F",6,11,393,12.45070586
"CS17-DG2F-251","TX740/LH195 ","DG2F",6,11,395,11.68184474
"CS17-DG2F-252","TX714/TX779","DG2F",6,11,397,10.7457425
"CS17-DG2F-253","B73/TX6252","DG2F",6,12,397,9.637581367
"CS17-DG2F-254","TX770/LH195","DG2F",6,12,395,10.65661225
"CS17-DG2F-255","LH195/PHZ51","DG2F",6,12,393,10.16436408
"CS17-DG2F-256","B73/TX775","DG2F",6,12,391,12.10333033
"CS17-DG2F-257","TX714/TX775","DG2F",6,12,389,NA
"CS17-DG2F-258","TX303/TX777","DG2F",6,12,387,11.23162539
"CS17-DG2F-259","TX772W/LH195 ","DG2F",6,12,385,9.561974961
"CS17-DG2F-260","TX714/TX777","DG2F",6,12,383,11.90601954
"CS17-DG2F-261","2369/PHZ51","DG2F",6,12,381,9.334737248
"CS17-DG2F-262","B73/TX777","DG2F",6,12,379,12.47184629
"CS17-DG2F-263","B73/TX779","DG2F",6,12,377,11.91597085
"CS17-DG2F-264","G7601VTTP (2017)","DG2F",6,12,375,12.42025907
"CS17-DG2F-265","REV28HR20 (2016)","DG2F",6,12,373,15.10208871
"CS17-DG2F-266","B14A/H95","DG2F",6,12,371,11.83320216
"CS17-DG2F-267","B14A/MO17","DG2F",6,12,369,11.62744897
"CS17-DG2F-268","2369/LH123HT","DG2F",6,12,367,11.26782599
"CS17-DG2F-269","LH195/PHN37","DG2F",6,12,365,11.59715842
"CS17-DG2F-270","TX714/PHZ51","DG2F",6,12,363,10.24427864
"CS17-DG2F-271","LH195/LH82","DG2F",6,12,361,11.41925549
"CS17-DG2F-272","PHG39/PHN82","DG2F",6,12,359,10.23448682
"CS17-DG2F-273","PHP02/PHG47","DG2F",6,12,357,8.427708677
"CS17-DG2F-274","B37/OH43","DG2F",6,12,355,11.00208178
"CS17-DG2F-275","PHG39/TX205","DG2F",6,12,353,8.16263312
"CS17-DG2F-276","B14A/OH43","DG2F",6,12,351,10.92018262
"CS17-DG2F-277","PHW52/PHN82","DG2F",6,12,349,12.91262954
"CS17-DG2F-278","2369/3IIH6","DG2F",6,12,347,11.36292071
"CS17-DG2F-279","CGR03/CG108","DG2F",6,12,345,9.514671261
"CS17-DG2F-280","LH123HT/3IIH6","DG2F",6,12,343,9.896116339
"CS17-DG2F-281","W37A/PHB47","DG2F",6,13,343,9.948268052
"CS17-DG2F-282","BH8900VIP3111 (2016)","DG2F",6,13,345,12.45561246
"CS17-DG2F-283","VA35/LH195","DG2F",6,13,347,11.95625363
"CS17-DG2F-284","CG44/CGR01","DG2F",6,13,349,6.66982218
"CS17-DG2F-285","PHP02/PHB47","DG2F",6,13,351,9.525452115
"CS17-DG2F-286","PHN11_PHW65_0323/LH195","DG2F",6,13,353,10.91093113
"CS17-DG2F-287","PHW52/PHM49","DG2F",6,13,355,10.82704553
"CS17-DG2F-288","B73/PHN82","DG2F",6,13,357,13.38391538
"CS17-DG2F-289","B37/H95","DG2F",6,13,359,10.82155211
"CS17-DG2F-290","LH74/PHN82","DG2F",6,13,361,12.17863728
"CS17-DG2F-291","CG60/LH162","DG2F",6,13,363,7.032729862
"CS17-DG2F-292","B73/PHZ51","DG2F",6,13,365,10.56850126
"CS17-DG2F-293","B37/MO17","DG2F",6,13,367,11.70125864
"CS17-DG2F-294","PHG80/PHZ51","DG2F",6,13,369,7.08456073
"CS17-DG2F-295","PB80/PHZ51","DG2F",6,13,371,10.490263
"CS17-DG2F-296","PHG29/PHG47","DG2F",6,13,373,9.478355802
"CS17-DG2F-297","WF9/H95","DG2F",6,13,375,10.91998454
"CS17-DG2F-298","GEMN-0260/3IIH6","DG2F",6,13,377,8.918833892
"CS17-DG2F-299","G6611 VTTP (2017)","DG2F",6,13,379,14.35045557
"CS17-DG2F-300","PHB47/PHZ51","DG2F",6,13,381,10.18359803
"CS17-DG2F-301","2369/PHN82","DG2F",6,13,383,11.89200234
"CS17-DG2F-302","DKB 64-69 (2016)","DG2F",6,13,385,14.82225104
"CS17-DG2F-303","LH198/PHN37","DG2F",6,13,387,9.792761497
"CS17-DG2F-304","LH216/LH195","DG2F",6,13,389,NA
"CS17-DG2F-305","F42/MO17","DG2F",6,13,391,10.27356853
"CS17-DG2F-306","B97/PHB47","DG2F",6,13,393,9.117303905
